iter	Passed	Remaining
0	0	76
1	1	73
2	2	72
3	2	64
4	3	64
5	4	64
6	4	63
7	5	62
8	7	72
9	8	77
10	10	83
11	11	80
12	12	80
13	12	78
14	13	76
15	17	89
16	18	91
17	21	98
18	22	95
19	24	97
20	25	94
21	25	91
22	26	88
23	27	86
24	27	83
25	28	81
26	30	82
27	31	80
28	32	79
29	33	78
30	45	102
31	60	128
32	62	127
33	63	123
34	64	119
35	64	115
36	65	112
37	66	108
38	70	110
39	71	106
40	71	103
41	80	111
42	81	108
43	82	104
44	83	101
45	84	98
46	84	95
47	85	92
48	86	89
49	86	86
50	87	84
51	88	81
52	88	78
53	93	79
54	93	76
55	94	74
56	94	71
57	95	68
58	95	66
59	95	63
60	96	61
61	96	59
62	97	57
63	97	54
64	97	52
65	98	50
66	99	49
67	100	47
68	101	45
69	101	43
70	103	42
71	104	40
72	105	39
73	106	37
74	107	35
75	108	34
76	109	32
77	109	30
78	110	29
79	111	27
80	111	26
81	124	27
82	125	25
83	126	24
84	126	22
85	127	20
86	128	19
87	129	17
88	129	16
89	130	14
90	132	13
91	133	11
92	133	10
93	134	8
94	135	7
95	135	5
96	136	4
97	137	2
98	138	1
99	138	0
