iter	Passed	Remaining
0	52	52264
1	53	26635
2	54	18057
3	54	13687
4	55	11061
5	56	9305
6	56	8053
7	57	7106
8	57	6381
9	58	5800
10	59	5327
11	60	4990
12	61	4670
13	62	4424
14	63	4160
15	63	3926
16	64	3721
17	65	3549
18	65	3384
19	66	3251
20	67	3156
21	68	3043
22	69	2937
23	69	2843
24	70	2751
25	71	2667
26	71	2587
27	72	2513
28	73	2448
29	73	2391
30	75	2366
31	77	2332
32	77	2274
33	78	2219
34	78	2167
35	79	2118
36	79	2071
37	81	2053
38	81	2016
39	82	1982
40	83	1949
41	83	1915
42	84	1882
43	85	1851
44	85	1823
45	86	1799
46	91	1853
47	92	1830
48	93	1809
49	94	1798
50	95	1785
51	96	1765
52	97	1745
53	98	1725
54	101	1735
55	103	1751
56	109	1810
57	110	1794
58	111	1776
59	112	1757
60	112	1738
61	113	1716
62	114	1701
63	115	1695
64	116	1682
65	127	1800
66	132	1842
67	133	1827
68	134	1811
69	139	1847
70	139	1830
71	140	1811
72	142	1806
73	147	1843
74	148	1830
75	150	1828
76	153	1836
77	154	1823
78	155	1812
79	156	1798
80	157	1783
81	158	1769
82	158	1750
83	159	1743
84	160	1730
85	161	1720
86	168	1765
87	169	1756
88	171	1755
89	172	1744
90	173	1734
91	174	1723
92	176	1724
93	182	1757
94	182	1743
95	183	1728
96	187	1745
97	189	1746
98	192	1752
99	195	1759
100	196	1747
101	198	1747
102	199	1737
103	201	1733
104	202	1722
105	203	1712
106	204	1703
107	208	1722
108	211	1730
109	212	1723
110	214	1717
111	216	1712
112	218	1718
113	219	1709
114	221	1702
115	222	1692
116	222	1680
117	224	1677
118	225	1667
119	225	1655
120	226	1644
121	226	1631
122	227	1619
123	228	1611
124	230	1613
125	243	1691
126	244	1681
127	246	1676
128	247	1668
129	248	1660
130	248	1651
131	249	1643
132	255	1664
133	257	1662
134	259	1665
135	261	1662
136	262	1655
137	263	1646
138	264	1635
139	267	1646
140	283	1727
141	283	1715
142	284	1704
143	284	1693
144	285	1682
145	285	1672
146	286	1661
147	286	1651
148	289	1652
149	290	1645
150	291	1639
151	293	1636
152	294	1632
153	297	1635
154	298	1626
155	299	1623
156	301	1617
157	302	1609
158	303	1607
159	304	1599
160	305	1590
161	305	1582
162	307	1578
163	308	1570
164	308	1563
165	309	1555
166	310	1550
167	312	1545
168	313	1543
169	315	1538
170	316	1534
171	318	1531
172	319	1525
173	319	1518
174	322	1518
175	323	1513
176	324	1510
177	325	1503
178	327	1500
179	327	1493
180	329	1490
181	330	1484
182	332	1483
183	335	1485
184	338	1492
185	339	1487
186	340	1481
187	342	1479
188	343	1472
189	344	1469
190	345	1464
191	346	1457
192	346	1450
193	347	1443
194	348	1440
195	350	1437
196	351	1432
197	352	1428
198	354	1427
199	355	1420
200	356	1416
201	356	1409
202	357	1403
203	357	1396
204	358	1389
205	358	1382
206	359	1376
207	360	1370
208	361	1369
209	363	1366
210	364	1364
211	365	1360
212	367	1356
213	369	1356
214	370	1351
215	371	1346
216	373	1346
217	373	1340
218	375	1340
219	377	1336
220	378	1334
221	379	1331
222	381	1330
223	383	1328
224	384	1323
225	385	1319
226	387	1317
227	388	1313
228	388	1308
229	389	1303
230	390	1300
231	391	1295
232	391	1289
233	392	1284
234	392	1278
235	393	1274
236	395	1273
237	396	1269
238	397	1266
239	398	1262
240	400	1260
241	402	1260
242	403	1256
243	404	1253
244	405	1249
245	406	1245
246	407	1242
247	408	1238
248	409	1233
249	411	1234
250	412	1230
251	412	1225
252	413	1220
253	413	1215
254	415	1213
255	415	1208
256	416	1204
257	417	1200
258	418	1196
259	419	1193
260	420	1189
261	420	1185
262	421	1182
263	422	1178
264	423	1175
265	425	1173
266	425	1169
267	426	1165
268	427	1160
269	428	1158
270	429	1154
271	429	1150
272	430	1147
273	431	1144
274	432	1141
275	433	1137
276	434	1133
277	435	1130
278	436	1127
279	436	1123
280	437	1119
281	438	1115
282	439	1113
283	440	1110
284	441	1106
285	441	1102
286	442	1098
287	442	1093
288	443	1089
289	443	1086
290	444	1083
291	445	1081
292	447	1078
293	448	1076
294	449	1073
295	449	1070
296	450	1066
297	451	1063
298	453	1063
299	454	1060
300	455	1057
301	456	1054
302	456	1050
303	457	1047
304	458	1043
305	458	1040
306	459	1037
307	460	1034
308	461	1031
309	461	1028
310	462	1025
311	463	1022
312	464	1019
313	465	1016
314	466	1015
315	467	1012
316	468	1009
317	468	1005
318	469	1002
319	469	998
320	470	994
321	471	992
322	471	988
323	472	986
324	473	983
325	474	980
326	474	977
327	475	975
328	476	972
329	477	968
330	477	966
331	478	963
332	479	960
333	482	961
334	482	958
335	483	956
336	484	953
337	485	951
338	492	960
339	503	977
340	504	975
341	505	972
342	506	969
343	506	966
344	507	963
345	507	959
346	508	956
347	509	954
348	516	963
349	518	962
350	518	959
351	519	956
352	519	953
353	520	949
354	521	946
355	521	943
356	522	940
357	522	937
358	523	934
359	524	931
360	524	928
361	526	927
362	527	925
363	527	922
364	528	919
365	528	916
366	529	913
367	530	910
368	530	907
